"Credit Serial Numbers","Date Issued (GMT)","Vintage","Vintage Assignment Period Start Date","Vintage Assignment Period End Date","Quantity of Credits","Account Holder","Status Effective (GMT)","Retired on Behalf of","Retirement Reason","Purpose of Retirement","Project ID","Project Name","Project Type","Project Methodology/Protocol","Methodology/Protocol Version","Project Site Location","Project Site State","Project Site Country","ARB Eligible","Ecology Eligible","CORSIA Eligible","Eligible for CORSIA 2021-2023 Compliance Period (Pilot Phase)","Eligible for CORSIA 2024-2026 Compliance Period (First Phase)","CCP Approved","Verified Removal","Sustainable Development Goal(s)","Project Website","Documents",
"ACR-US-398-2019-820-31017 to 31026","4/17/2019 3:10:29 AM","2019","10/10/2017","10/9/2018","10","SouthStar Energy Services LLC","11/2/2021 7:23:21 PM","","Retail Program Requirements","Q3-21 GLEM","ACR398","Anew - Doe Mountain Forestry Project","Forest Carbon","Improved Forest Management (IFM) on Non-Federal U.S. Forestlands","Version 1.0","Johnson County, Tennessee","TENNESSEE","US","No","No","No","","","","","03: Good Health and Well-Being;06: Clean Water and Sanitation;09: Industry, Innovation and Infrastructure;13: Climate Action;15: Life on Land","","View",
"ACR-US-398-2019-820-30984 to 31016","4/17/2019 3:10:29 AM","2019","10/10/2017","10/9/2018","33","SouthStar Energy Services LLC","11/2/2021 7:21:19 PM","","Retail Program Requirements","Q2-21 - Q1-21 TRUE UP GLEM","ACR398","Anew - Doe Mountain Forestry Project","Forest Carbon","Improved Forest Management (IFM) on Non-Federal U.S. Forestlands","Version 1.0","Johnson County, Tennessee","TENNESSEE","US","No","No","No","","","","","03: Good Health and Well-Being;06: Clean Water and Sanitation;09: Industry, Innovation and Infrastructure;13: Climate Action;15: Life on Land","","View",
"ACR-US-398-2019-820-30683 to 30983","4/17/2019 3:10:29 AM","2019","10/10/2017","10/9/2018","301","SouthStar Energy Services LLC","11/2/2021 7:14:29 PM","","Retail Program Requirements","Q3-21 GL4B","ACR398","Anew - Doe Mountain Forestry Project","Forest Carbon","Improved Forest Management (IFM) on Non-Federal U.S. Forestlands","Version 1.0","Johnson County, Tennessee","TENNESSEE","US","No","No","No","","","","","03: Good Health and Well-Being;06: Clean Water and Sanitation;09: Industry, Innovation and Infrastructure;13: Climate Action;15: Life on Land","","View",
"ACR-US-398-2019-820-30366 to 30682","4/17/2019 3:10:29 AM","2019","10/10/2017","10/9/2018","317","SouthStar Energy Services LLC","11/2/2021 7:10:51 PM","","Retail Program Requirements","Q3-21 Greener Life GA","ACR398","Anew - Doe Mountain Forestry Project","Forest Carbon","Improved Forest Management (IFM) on Non-Federal U.S. Forestlands","Version 1.0","Johnson County, Tennessee","TENNESSEE","US","No","No","No","","","","","03: Good Health and Well-Being;06: Clean Water and Sanitation;09: Industry, Innovation and Infrastructure;13: Climate Action;15: Life on Land","","View",
"ACR-US-424-2019-1306-1 to 1000","7/23/2021 4:43:59 AM","2019","10/1/2019","12/31/2019","1000","The Nature Conservancy","11/2/2021 5:00:20 PM","","On Behalf of Third Party","Retired on behalf of Fred Alger Management, LLC","ACR424","Albany Water Board - Improved Forest Management Project","Forest Carbon","Improved Forest Management (IFM) on Non-Federal U.S. Forestlands","Version 1.3","Albany","NEW YORK","US","No","No","No","","","","","03: Good Health and Well-Being;06: Clean Water and Sanitation;09: Industry, Innovation and Infrastructure;13: Climate Action;15: Life on Land","","View",
"ACR-US-386-2019-1243-19376 to 19378","4/29/2021 9:52:24 PM","2019","6/30/2019","12/31/2019","3","Green Story Inc","11/1/2021 10:00:34 PM","","Other","Retired on behalf of Green Story Inc's and SimpliZero Clients to offset the carbon footprint of their products sales, employee and lifestyle footprint for October 2021","ACR386","Anew - Hudson Farm Forestry Project","Forest Carbon","Improved Forest Management (IFM) on Non-Federal U.S. Forestlands","Version 1.3","Andover, New Jersey","NEW JERSEY","US","No","No","No","","","","","03: Good Health and Well-Being;06: Clean Water and Sanitation;09: Industry, Innovation and Infrastructure;13: Climate Action;15: Life on Land","","View",
"ACR-US-459-2018-974-31393 to 32392","3/18/2020 2:27:16 PM","2018","7/27/2018","12/31/2018","1000","Anew Carbon Development, LLC","11/1/2021 9:59:03 PM","","On Behalf of Third Party","Retired on behalf of CarbonClick users to offset their emissions","ACR459","Anew - Klawock Heenya Native Community Forestry Project","Forest Carbon","Improved Forest Management (IFM) on Non-Federal U.S. Forestlands","Version 1.3","Klawock","ALASKA","US","No","No","No","","","","","03: Good Health and Well-Being;06: Clean Water and Sanitation;09: Industry, Innovation and Infrastructure;13: Climate Action;15: Life on Land","","View",
"ACR-US-222-2017-1373-726 to 964","10/20/2021 7:13:20 PM","2017","1/1/2017","12/31/2017","239","BeZero Carbon","11/1/2021 4:11:21 PM","","On Behalf of Third Party","Retired to offset River and Mercantile's 2020 footprint","ACR222","Prairie Pothole Avoided Conversion of Grasslands and Shrublands","Agricultural Land Management","Avoided Conversion of Grasslands and Shrublands to Crop Production","Version 2.0","Missouri Coteau","NORTH DAKOTA","US","No","No","No","","","","","03: Good Health and Well-Being;06: Clean Water and Sanitation;13: Climate Action;15: Life on Land","","View",
"ACR-US-222-2017-1373-488 to 725","10/20/2021 7:13:20 PM","2017","1/1/2017","12/31/2017","238","BeZero Carbon","10/28/2021 3:58:54 PM","","On Behalf of Third Party","Retired to offset Piglet in Bed's 2020 footprint","ACR222","Prairie Pothole Avoided Conversion of Grasslands and Shrublands","Agricultural Land Management","Avoided Conversion of Grasslands and Shrublands to Crop Production","Version 2.0","Missouri Coteau","NORTH DAKOTA","US","No","No","No","","","","","03: Good Health and Well-Being;06: Clean Water and Sanitation;13: Climate Action;15: Life on Land","","View",
"ACR-US-499-2019-1025-64605 to 64686","6/17/2020 1:09:56 PM","2019","1/1/2019","8/12/2019","82","Pachama Inc.","10/27/2021 11:14:24 PM","","On Behalf of Third Party","On behalf of participants in United States bundle 3750","ACR499","Anew - Kootznoowoo Native Community Forestry Project","Forest Carbon","Improved Forest Management (IFM) on Non-Federal U.S. Forestlands","Version 1.3","Prince of Wales","ALASKA","US","No","No","No","","","","","03: Good Health and Well-Being;06: Clean Water and Sanitation;09: Industry, Innovation and Infrastructure;13: Climate Action;15: Life on Land","","View",
"ACR-US-499-2019-1207-32489 to 36845","2/8/2021 7:55:38 PM","2019","8/13/2019","12/31/2019","4357","Pachama Inc.","10/27/2021 10:21:53 PM","","On Behalf of Third Party","On behalf of Gitlab 3","ACR499","Anew - Kootznoowoo Native Community Forestry Project","Forest Carbon","Improved Forest Management (IFM) on Non-Federal U.S. Forestlands","Version 1.3","Prince of Wales","ALASKA","US","No","No","No","","","","","03: Good Health and Well-Being;06: Clean Water and Sanitation;09: Industry, Innovation and Infrastructure;13: Climate Action;15: Life on Land","","View",
"ACR-US-386-2020-1242-21171 to 24170","4/29/2021 9:51:59 PM","2020","1/1/2020","6/29/2020","3000","Pachama Inc.","10/27/2021 10:19:26 PM","","On Behalf of Third Party","On behalf of Gitlab 3736","ACR386","Anew - Hudson Farm Forestry Project","Forest Carbon","Improved Forest Management (IFM) on Non-Federal U.S. Forestlands","Version 1.3","Andover, New Jersey","NEW JERSEY","US","No","No","No","","","","","03: Good Health and Well-Being;06: Clean Water and Sanitation;09: Industry, Innovation and Infrastructure;13: Climate Action;15: Life on Land","","View",
"ACR-US-222-2017-1373-1 to 487","10/20/2021 7:13:20 PM","2017","1/1/2017","12/31/2017","487","BeZero Carbon","10/27/2021 9:35:43 AM","","On Behalf of Third Party","Retired to offset Redington's legacy emissions","ACR222","Prairie Pothole Avoided Conversion of Grasslands and Shrublands","Agricultural Land Management","Avoided Conversion of Grasslands and Shrublands to Crop Production","Version 2.0","Missouri Coteau","NORTH DAKOTA","US","No","No","No","","","","","03: Good Health and Well-Being;06: Clean Water and Sanitation;13: Climate Action;15: Life on Land","","View",
"ACR-US-122-2006-113-200604456 to 200606859","8/30/2007","2006","1/1/2006","12/31/2006","2404","Enstor Gas, LLC","10/26/2021 4:53:55 PM","","Environmental Benefit","Q3 2021 Katy Gas Storage Carbon Offsets","ACR122","Romeoville LFG to Energy","Landfill Gas Capture & Combustion","Monitoring, Reporting and Verification Protocol for Landfill Gas Combustion","Version 0","Romeoville","ILLINOIS","US","No","No","No","","","","","","","View",
"ACR-US-499-2019-1025-65120 to 65120","6/17/2020 1:09:56 PM","2019","1/1/2019","8/12/2019","1","Lune Climate Ltd","10/26/2021 3:55:07 PM","","On Behalf of Third Party","On behalf of Jakub Stasiak","ACR499","Anew - Kootznoowoo Native Community Forestry Project","Forest Carbon","Improved Forest Management (IFM) on Non-Federal U.S. Forestlands","Version 1.3","Prince of Wales","ALASKA","US","No","No","No","","","","","03: Good Health and Well-Being;06: Clean Water and Sanitation;09: Industry, Innovation and Infrastructure;13: Climate Action;15: Life on Land","","View",
"ACR-US-499-2019-1025-65119 to 65119","6/17/2020 1:09:56 PM","2019","1/1/2019","8/12/2019","1","Lune Climate Ltd","10/26/2021 3:19:05 PM","","Environmental Benefit","Partially offset Lune’s emissions","ACR499","Anew - Kootznoowoo Native Community Forestry Project","Forest Carbon","Improved Forest Management (IFM) on Non-Federal U.S. Forestlands","Version 1.3","Prince of Wales","ALASKA","US","No","No","No","","","","","03: Good Health and Well-Being;06: Clean Water and Sanitation;09: Industry, Innovation and Infrastructure;13: Climate Action;15: Life on Land","","View",
"ACR-US-499-2019-1025-65118 to 65118","6/17/2020 1:09:56 PM","2019","1/1/2019","8/12/2019","1","Lune Climate Ltd","10/26/2021 3:07:43 PM","","Environmental Benefit","Partially offset Lune’s emissions","ACR499","Anew - Kootznoowoo Native Community Forestry Project","Forest Carbon","Improved Forest Management (IFM) on Non-Federal U.S. Forestlands","Version 1.3","Prince of Wales","ALASKA","US","No","No","No","","","","","03: Good Health and Well-Being;06: Clean Water and Sanitation;09: Industry, Innovation and Infrastructure;13: Climate Action;15: Life on Land","","View",
"ACR-US-212-2020-1172-151676 to 153208","12/18/2020 11:27:07 PM","2020","1/1/2020","7/27/2020","1533","Carbonfund.org","10/26/2021 11:34:30 AM","","Retail Program Requirements","Retired on behalf of Carbonfund.org's donor","ACR212","UPM Blandin Native American Hardwoods Conservation & Carbon Sequestration Project","Forest Carbon","Improved Forest Management (IFM) on Non-Federal U.S. Forestlands","Version 1.1","70mile radius of Grand Rapids","MINNESOTA","US","No","No","No","","","","","03: Good Health and Well-Being;06: Clean Water and Sanitation;09: Industry, Innovation and Infrastructure;13: Climate Action;15: Life on Land","","View",
"ACR-US-212-2020-1172-158284 to 165000","12/18/2020 11:27:07 PM","2020","1/1/2020","7/27/2020","6717","Carbonfund.org","10/26/2021 11:33:54 AM","","Retail Program Requirements","Retired on behalf of Carbonfund.org's donor","ACR212","UPM Blandin Native American Hardwoods Conservation & Carbon Sequestration Project","Forest Carbon","Improved Forest Management (IFM) on Non-Federal U.S. Forestlands","Version 1.1","70mile radius of Grand Rapids","MINNESOTA","US","No","No","No","","","","","03: Good Health and Well-Being;06: Clean Water and Sanitation;09: Industry, Innovation and Infrastructure;13: Climate Action;15: Life on Land","","View",
"ACR-US-499-2019-1207-31989 to 32488","2/8/2021 7:55:38 PM","2019","8/13/2019","12/31/2019","500","Pachama Inc.","10/25/2021 11:34:40 PM","","On Behalf of Third Party","On behalf of CNG's client","ACR499","Anew - Kootznoowoo Native Community Forestry Project","Forest Carbon","Improved Forest Management (IFM) on Non-Federal U.S. Forestlands","Version 1.3","Prince of Wales","ALASKA","US","No","No","No","","","","","03: Good Health and Well-Being;06: Clean Water and Sanitation;09: Industry, Innovation and Infrastructure;13: Climate Action;15: Life on Land","","View",
"ACR-US-114-2013-385-477276 to 477292","5/1/2015 11:46:57 PM","2013","1/1/2013","12/31/2013","17","GreenTrees, LLC","10/25/2021 1:24:01 PM","","On Behalf of Third Party","On behalf of BCSE","ACR114","GreenTrees ACRE (Advanced Carbon Restored Ecosystem)","Forest Carbon","Afforestation and Reforestation of Degraded Lands","Version 1.0","Mississippi Alluvial Valley","ARKANSAS; ILLINOIS; LOUISIANA; MISSISSIPPI","US","No","No","No","","","","Yes","03: Good Health and Well-Being;06: Clean Water and Sanitation;09: Industry, Innovation and Infrastructure;13: Climate Action;15: Life on Land","www.green-trees.com","View",
"ACR-US-114-2019-1071-841434 to 843433","7/31/2020 9:00:05 PM","2019","1/1/2019","12/31/2019","2000","GreenTrees, LLC","10/25/2021 1:23:59 PM","","On Behalf of Third Party","On behalf of AT&T, Inc.","ACR114","GreenTrees ACRE (Advanced Carbon Restored Ecosystem)","Forest Carbon","Afforestation and Reforestation of Degraded Lands","Version 1.0","Mississippi Alluvial Valley","ARKANSAS; ILLINOIS; LOUISIANA; MISSISSIPPI","US","No","No","No","","","","Yes","03: Good Health and Well-Being;06: Clean Water and Sanitation;09: Industry, Innovation and Infrastructure;13: Climate Action;15: Life on Land","www.green-trees.com","View",
"ACR-US-389-2018-718-352680 to 357071","5/3/2018 9:54:33 AM","2018","4/17/2017","8/31/2017","4392","EcoAct SAS","10/25/2021 9:07:49 AM","","On Behalf of Third Party","Retired on behalf of Direct Wines","ACR389","Winston Creek Forest Carbon Project","Forest Carbon","Improved Forest Management (IFM) on Non-Federal U.S. Forestlands","Version 1.2","Morton, Washington","WASHINGTON","US","No","No","Yes","Yes","","","","03: Good Health and Well-Being;06: Clean Water and Sanitation;09: Industry, Innovation and Infrastructure;13: Climate Action;15: Life on Land","","View",
"ACR-US-212-2020-1172-157484 to 158283","12/18/2020 11:27:07 PM","2020","1/1/2020","7/27/2020","800","Carbonfund.org","10/22/2021 3:44:15 PM","","Retail Program Requirements","Retired on behalf of Carbonfund.org's Donor","ACR212","UPM Blandin Native American Hardwoods Conservation & Carbon Sequestration Project","Forest Carbon","Improved Forest Management (IFM) on Non-Federal U.S. Forestlands","Version 1.1","70mile radius of Grand Rapids","MINNESOTA","US","No","No","No","","","","","03: Good Health and Well-Being;06: Clean Water and Sanitation;09: Industry, Innovation and Infrastructure;13: Climate Action;15: Life on Land","","View",
"ACR-US-376-2018-864-46478 to 47274","7/3/2019 9:30:26 PM","2018","3/17/2017","9/15/2018","797","Maple Leaf Foods","10/21/2021 1:36:42 PM","","Environmental Benefit","Carbon Neutral (Greenleaf Foods SPC)","ACR376","Anew - Massachusetts Tri-City Forestry Project","Forest Carbon","Improved Forest Management (IFM) on Non-Federal U.S. Forestlands","Version 1.2","Hampden and Tolland Counties, Massachusetts","MASSACHUSETTS","US","No","No","No","","","","","03: Good Health and Well-Being;06: Clean Water and Sanitation;09: Industry, Innovation and Infrastructure;13: Climate Action;15: Life on Land","","View",
"ACR-US-459-2019-973-39939 to 39999","3/18/2020 2:27:16 PM","2019","1/1/2019","7/26/2019","61","Cool Effect","10/21/2021 12:32:44 AM","","Environmental Benefit","Cool Effect - September 2021 Sales: BLUKLA2019-CP","ACR459","Anew - Klawock Heenya Native Community Forestry Project","Forest Carbon","Improved Forest Management (IFM) on Non-Federal U.S. Forestlands","Version 1.3","Klawock","ALASKA","US","No","No","No","","","","","03: Good Health and Well-Being;06: Clean Water and Sanitation;09: Industry, Innovation and Infrastructure;13: Climate Action;15: Life on Land","","View",
"ACR-US-518-2019-1094-1564 to 1863","8/31/2020 11:08:06 PM","2019","1/1/2019","8/30/2019","300","Anew Carbon Development, LLC","10/19/2021 10:06:01 PM","","On Behalf of Third Party","Retired on behalf of Champlain Investment Partners' 2019 Emissions","ACR518","Anew - Burnt Mountain Forestry Project","Forest Carbon","Improved Forest Management (IFM) on Non-Federal U.S. Forestlands","Version 1.0","Montgomery, VT","VERMONT","US","No","No","No","","","","","03: Good Health and Well-Being;06: Clean Water and Sanitation;09: Industry, Innovation and Infrastructure;13: Climate Action;15: Life on Land","","View",
"ACR-US-386-2020-1242-20871 to 21170","4/29/2021 9:51:59 PM","2020","1/1/2020","6/29/2020","300","Pachama Inc.","10/15/2021 10:54:26 PM","","On Behalf of Third Party","Ware2Go","ACR386","Anew - Hudson Farm Forestry Project","Forest Carbon","Improved Forest Management (IFM) on Non-Federal U.S. Forestlands","Version 1.3","Andover, New Jersey","NEW JERSEY","US","No","No","No","","","","","03: Good Health and Well-Being;06: Clean Water and Sanitation;09: Industry, Innovation and Infrastructure;13: Climate Action;15: Life on Land","","View",
"ACR-US-459-2019-973-39882 to 39938","3/18/2020 2:27:16 PM","2019","1/1/2019","7/26/2019","57","Cool Effect","10/14/2021 7:09:06 PM","","Environmental Benefit","Cool Effect - August 2021 Sales: BLUKLA2019-CP","ACR459","Anew - Klawock Heenya Native Community Forestry Project","Forest Carbon","Improved Forest Management (IFM) on Non-Federal U.S. Forestlands","Version 1.3","Klawock","ALASKA","US","No","No","No","","","","","03: Good Health and Well-Being;06: Clean Water and Sanitation;09: Industry, Innovation and Infrastructure;13: Climate Action;15: Life on Land","","View",
"ACR-US-368-2018-804-5502 to 6635","2/5/2019 7:15:55 AM","2018","9/26/2017","9/25/2018","1134","South Pole USA Inc.","10/13/2021 3:45:30 PM","","Environmental Benefit","","ACR368","Anew - Middlebury Forestry Project","Forest Carbon","Improved Forest Management (IFM) on Non-Federal U.S. Forestlands","Version 1.2","Middlebury, Vermont","VERMONT","US","No","No","No","","","","","03: Good Health and Well-Being;04: Quality Education;06: Clean Water and Sanitation;09: Industry, Innovation and Infrastructure;11: Sustainable Cities and Communities;13: Climate Action;15: Life on Land","","View",
"ACR-US-455-2018-996-432617 to 433102","4/23/2020 11:27:51 PM","2018","1/1/2018","12/31/2018","486","Carbon Portfolio Advisors, LLC","10/13/2021 12:29:44 PM","","On Behalf of Third Party","CPA Client ID 2008","ACR455","Foam Blowing Agent Project 003D","Industrial Process Emissions","Transition to Advanced Formulation Blowing Agents in Foam Manufacturing and Use","Version 1.0","Winchester","VIRGINIA","US","No","No","Yes","Yes","","","","03: Good Health and Well-Being;06: Clean Water and Sanitation;09: Industry, Innovation and Infrastructure;12: Responsible Consumption and Production;13: Climate Action","","View",
"ACR-US-212-2019-1155-1 to 8","11/23/2020 11:09:19 PM","2019","1/1/2019","7/27/2019","8","Anew Environmental, LLC","10/12/2021 7:21:24 PM","","On Behalf of Third Party","On behalf of Patch's customers or their end users","ACR212","UPM Blandin Native American Hardwoods Conservation & Carbon Sequestration Project","Forest Carbon","Improved Forest Management (IFM) on Non-Federal U.S. Forestlands","Version 1.1","70mile radius of Grand Rapids","MINNESOTA","US","No","No","No","","","","","03: Good Health and Well-Being;06: Clean Water and Sanitation;09: Industry, Innovation and Infrastructure;13: Climate Action;15: Life on Land","","View",
"ACR-US-212-2018-1153-65692 to 66654","11/23/2020 11:09:01 PM","2018","7/28/2018","12/31/2018","963","3Degrees Group, Inc.","10/12/2021 7:03:53 PM","","On Behalf of Third Party","Retired on behalf of Etsy, Inc.","ACR212","UPM Blandin Native American Hardwoods Conservation & Carbon Sequestration Project","Forest Carbon","Improved Forest Management (IFM) on Non-Federal U.S. Forestlands","Version 1.1","70mile radius of Grand Rapids","MINNESOTA","US","No","No","No","","","","","03: Good Health and Well-Being;06: Clean Water and Sanitation;09: Industry, Innovation and Infrastructure;13: Climate Action;15: Life on Land","","View",
"ACR-US-212-2018-1153-101012 to 127075","11/23/2020 11:09:01 PM","2018","7/28/2018","12/31/2018","26064","3Degrees Group, Inc.","10/12/2021 7:02:31 PM","","On Behalf of Third Party","Retired on behalf of Etsy, Inc.","ACR212","UPM Blandin Native American Hardwoods Conservation & Carbon Sequestration Project","Forest Carbon","Improved Forest Management (IFM) on Non-Federal U.S. Forestlands","Version 1.1","70mile radius of Grand Rapids","MINNESOTA","US","No","No","No","","","","","03: Good Health and Well-Being;06: Clean Water and Sanitation;09: Industry, Innovation and Infrastructure;13: Climate Action;15: Life on Land","","View",
"ACR-US-455-2018-996-430903 to 432616","4/23/2020 11:27:51 PM","2018","1/1/2018","12/31/2018","1714","Carbon Portfolio Advisors, LLC","10/12/2021 5:43:26 PM","","On Behalf of Third Party","CPA Client ID 2007","ACR455","Foam Blowing Agent Project 003D","Industrial Process Emissions","Transition to Advanced Formulation Blowing Agents in Foam Manufacturing and Use","Version 1.0","Winchester","VIRGINIA","US","No","No","Yes","Yes","","","","03: Good Health and Well-Being;06: Clean Water and Sanitation;09: Industry, Innovation and Infrastructure;12: Responsible Consumption and Production;13: Climate Action","","View",
"ACR-BR-177-2014-371-82668 to 82888","1/8/2015 5:39:46 PM","2014","1/1/2014","8/31/2014","221","Bank of Montreal","10/12/2021 5:14:53 PM","","Environmental Benefit","Under Radicle Classic Portfolio","ACR177","Monjolinho Energética S/A Hydropower Plant Project (Alzir dos Santos Antunes)","Renewable Energy","ACM0002: Consolidated baseline methodology for grid-connected electricity generation from renewable sources","Version 15.0","Faxinalzinho and Nonoai","Rio Grande do Sul","BR","No","No","No","","","","","07: Affordable and Clean Energy;11: Sustainable Cities and Communities;13: Climate Action","","View",
"ACR-US-455-2018-996-428635 to 430902","4/23/2020 11:27:51 PM","2018","1/1/2018","12/31/2018","2268","Carbon Portfolio Advisors, LLC","10/12/2021 4:29:35 PM","","On Behalf of Third Party","CPA Client ID 2006","ACR455","Foam Blowing Agent Project 003D","Industrial Process Emissions","Transition to Advanced Formulation Blowing Agents in Foam Manufacturing and Use","Version 1.0","Winchester","VIRGINIA","US","No","No","Yes","Yes","","","","03: Good Health and Well-Being;06: Clean Water and Sanitation;09: Industry, Innovation and Infrastructure;12: Responsible Consumption and Production;13: Climate Action","","View",
"ACR-US-455-2018-996-428548 to 428634","4/23/2020 11:27:51 PM","2018","1/1/2018","12/31/2018","87","Carbon Portfolio Advisors, LLC","10/12/2021 4:28:35 PM","","On Behalf of Third Party","CPA Client ID 2004","ACR455","Foam Blowing Agent Project 003D","Industrial Process Emissions","Transition to Advanced Formulation Blowing Agents in Foam Manufacturing and Use","Version 1.0","Winchester","VIRGINIA","US","No","No","Yes","Yes","","","","03: Good Health and Well-Being;06: Clean Water and Sanitation;09: Industry, Innovation and Infrastructure;12: Responsible Consumption and Production;13: Climate Action","","View",
"ACR-US-455-2018-996-427538 to 428547","4/23/2020 11:27:51 PM","2018","1/1/2018","12/31/2018","1010","Carbon Portfolio Advisors, LLC","10/12/2021 4:26:31 PM","","On Behalf of Third Party","CPA Client ID 2005","ACR455","Foam Blowing Agent Project 003D","Industrial Process Emissions","Transition to Advanced Formulation Blowing Agents in Foam Manufacturing and Use","Version 1.0","Winchester","VIRGINIA","US","No","No","Yes","Yes","","","","03: Good Health and Well-Being;06: Clean Water and Sanitation;09: Industry, Innovation and Infrastructure;12: Responsible Consumption and Production;13: Climate Action","","View",
"ACR-US-455-2018-996-427509 to 427537","4/23/2020 11:27:51 PM","2018","1/1/2018","12/31/2018","29","Carbon Portfolio Advisors, LLC","10/12/2021 2:51:06 PM","","On Behalf of Third Party","CPA Client ID 2003","ACR455","Foam Blowing Agent Project 003D","Industrial Process Emissions","Transition to Advanced Formulation Blowing Agents in Foam Manufacturing and Use","Version 1.0","Winchester","VIRGINIA","US","No","No","Yes","Yes","","","","03: Good Health and Well-Being;06: Clean Water and Sanitation;09: Industry, Innovation and Infrastructure;12: Responsible Consumption and Production;13: Climate Action","","View",
"ACR-US-455-2018-996-427323 to 427508","4/23/2020 11:27:51 PM","2018","1/1/2018","12/31/2018","186","Carbon Portfolio Advisors, LLC","10/12/2021 2:50:32 PM","","On Behalf of Third Party","CPA Client ID 2002","ACR455","Foam Blowing Agent Project 003D","Industrial Process Emissions","Transition to Advanced Formulation Blowing Agents in Foam Manufacturing and Use","Version 1.0","Winchester","VIRGINIA","US","No","No","Yes","Yes","","","","03: Good Health and Well-Being;06: Clean Water and Sanitation;09: Industry, Innovation and Infrastructure;12: Responsible Consumption and Production;13: Climate Action","","View",
"ACR-US-455-2018-996-426783 to 427322","4/23/2020 11:27:51 PM","2018","1/1/2018","12/31/2018","540","Carbon Portfolio Advisors, LLC","10/12/2021 2:48:14 PM","","On Behalf of Third Party","CPA Client ID 2001","ACR455","Foam Blowing Agent Project 003D","Industrial Process Emissions","Transition to Advanced Formulation Blowing Agents in Foam Manufacturing and Use","Version 1.0","Winchester","VIRGINIA","US","No","No","Yes","Yes","","","","03: Good Health and Well-Being;06: Clean Water and Sanitation;09: Industry, Innovation and Infrastructure;12: Responsible Consumption and Production;13: Climate Action","","View",
"ACR-US-114-2019-1071-412129 to 412777","7/31/2020 9:00:05 PM","2019","1/1/2019","12/31/2019","649","Arbor Day Foundation","10/11/2021 2:52:58 PM","","On Behalf of Third Party","On Behalf of NIKE Neon","ACR114","GreenTrees ACRE (Advanced Carbon Restored Ecosystem)","Forest Carbon","Afforestation and Reforestation of Degraded Lands","Version 1.0","Mississippi Alluvial Valley","ARKANSAS; ILLINOIS; LOUISIANA; MISSISSIPPI","US","No","No","No","","","","Yes","03: Good Health and Well-Being;06: Clean Water and Sanitation;09: Industry, Innovation and Infrastructure;13: Climate Action;15: Life on Land","www.green-trees.com","View",
"ACR-US-386-2019-1243-19372 to 19375","4/29/2021 9:52:24 PM","2019","6/30/2019","12/31/2019","4","Green Story Inc","10/6/2021 8:22:43 PM","","Other","Retired on behalf of Green Story Inc's and SimpliZero Clients to offset the carbon footprint of their products sales, employee and lifestyle footprint for September 2021","ACR386","Anew - Hudson Farm Forestry Project","Forest Carbon","Improved Forest Management (IFM) on Non-Federal U.S. Forestlands","Version 1.3","Andover, New Jersey","NEW JERSEY","US","No","No","No","","","","","03: Good Health and Well-Being;06: Clean Water and Sanitation;09: Industry, Innovation and Infrastructure;13: Climate Action;15: Life on Land","","View",
"ACR-US-557-2019-1149-65053 to 80052","11/19/2020 9:48:06 PM","2019","1/2/2019","12/31/2019","15000","Anew Carbon Development, LLC","10/5/2021 5:28:24 PM","","On Behalf of Third Party","Retired on behalf of New Belgium Brewing Company","ACR557","Hudson Tech HFC Reclamation Project 2020-1","Industrial Process Emissions","Certified Reclaimed HFC Refrigerants, Propellants, and Fire Suppressants","Version 1.1","Champaign","ILLINOIS","US","No","No","Yes","Yes","","","","03: Good Health and Well-Being;09: Industry, Innovation and Infrastructure;12: Responsible Consumption and Production;13: Climate Action","www.hudsontech.com","View",
"ACR-US-518-2019-1335-1 to 2200","9/1/2021 9:43:17 PM","2019","8/31/2019","12/31/2019","2200","One Tree Planted","10/5/2021 2:00:48 AM","","On Behalf of Third Party","Retired by One Tree Planted on behalf of Merchants Fleet","ACR518","Anew - Burnt Mountain Forestry Project","Forest Carbon","Improved Forest Management (IFM) on Non-Federal U.S. Forestlands","Version 1.3","Montgomery, VT","VERMONT","US","No","No","No","","","","","03: Good Health and Well-Being;06: Clean Water and Sanitation;09: Industry, Innovation and Infrastructure;13: Climate Action;15: Life on Land","","View",
"ACR-US-574-2020-1363-1 to 18944","9/30/2021 8:17:52 PM","2020","6/5/2020","11/30/2020","18944","The Nature Conservancy","10/4/2021 10:43:54 PM","","On Behalf of Third Party","Retired on behalf of Microsoft for voluntary purposes","ACR574","The Nature Conservancy Washington Rainforest Renewal Project","Forest Carbon","Improved Forest Management (IFM) on Non-Federal U.S. Forestlands","Version 1.3","Jefferson and Pacific Counties","WASHINGTON","US","No","No","No","","","","","03: Good Health and Well-Being;06: Clean Water and Sanitation;09: Industry, Innovation and Infrastructure;11: Sustainable Cities and Communities;13: Climate Action;15: Life on Land","","View",
